Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,260,360,38.9,17.09,829.2,81.96
5,260,380,33.03,9.99,895.07,114.94
5,260,400,35.87,19.62,968.47,206.05
5,280,0,16.2,12.22,868.6,176.4
5,280,20,25.43,15.84,867.33,132.89
5,280,40,34.5,20.25,886.73,126.42
5,280,60,21.93,16.0,802.53,78.51
5,280,80,24.9,19.06,831.8,97.1
5,280,100,22.7,16.45,811.27,113.91
5,280,120,34.23,12.98,910.8,109.73
5,280,140,28.97,12.96,913.2,87.6
5,280,160,39.63,17.95,815.53,135.8
5,280,180,40.73,18.36,929.13,150.05
5,280,200,33.87,15.44,976.27,191.8
5,280,220,35.9,19.23,902.27,71.58
5,280,240,38.8,16.75,905.2,186.63
5,280,260,41.43,16.96,887.67,111.47
5,280,280,41.43,12.13,937.27,115.82
5,280,300,36.3,13.53,907.93,102.93
5,280,320,33.53,17.29,949.33,155.42
5,280,340,36.5,15.05,996.27,176.07
5,280,360,36.4,14.0,922.8,168.98
5,280,380,43.6,15.35,936.93,158.31
5,280,400,39.07,16.91,951.07,135.29
5,300,0,17.63,17.0,792.4,67.09
5,300,20,19.87,13.29,850.73,97.35
5,300,40,28.57,13.05,927.8,244.82
5,300,60,22.83,10.82,842.93,116.56
5,300,80,29.9,22.76,869.87,109.28
5,300,100,30.8,18.75,877.8,78.43
5,300,120,26.17,17.09,864.93,142.97
5,300,140,29.93,13.11,946.2,119.71
5,300,160,31.0,10.85,889.73,93.53
5,300,180,31.03,18.56,941.47,175.15
5,300,200,35.3,15.68,927.67,163.39
5,300,220,32.73,16.82,911.2,126.25
5,300,240,36.6,20.4,876.07,90.84
5,300,260,32.87,14.92,950.2,148.32
5,300,280,37.9,17.86,854.8,96.62
5,300,300,41.8,17.29,941.93,188.17
5,300,320,30.8,16.62,908.2,204.95
5,300,340,32.43,16.22,881.33,91.66
5,300,360,38.3,16.18,910.0,91.5
5,300,380,41.3,18.81,943.0,130.21
5,300,400,44.97,13.65,916.13,154.68
5,320,0,24.13,19.44,874.0,118.17
5,320,20,19.87,12.21,837.47,142.76
5,320,40,19.93,14.98,892.93,129.46
5,320,60,25.63,14.65,874.13,181.77
5,320,80,23.73,14.95,838.93,126.99
5,320,100,25.9,9.4,821.67,129.48
5,320,120,25.87,15.98,922.07,157.01
5,320,140,36.57,12.77,939.67,139.49
5,320,160,28.13,15.03,882.0,129.17
